L2_x,L2_y,phi
153598238.0,0.0,0.0
153598123.40512452,186432.3500088759,0.0012137665118316916
153597779.62054932,372864.43768841325,0.002427533172649941
153597206.64642802,559296.0007073854,0.003641300131746467
153596404.4830166,745726.776730789,0.004855067538108615
153595373.1306735,932156.503417956,0.006068835540925751
153594112.5898596,1118584.9184206633,0.007282604289177912
153592622.86113822,1305011.759381243,0.008496373931877809
153590903.94517514,1491436.7639306912,0.00971014461798288
153588955.84273863,1677859.669686775,0.01092391649641698
153586778.55469957,1864280.2142521376,0.012137689716033455
153584372.08203128,2050698.135212403,0.013351464425623473
153581736.4258097,2237113.1701342775,0.014565240773897425
153578871.58721352,2423525.0565636493,0.01577901890948912
153575777.56752396,2609933.532023684,0.01699279898093869
153572454.36812502,2796338.3340129196,0.018206581136712908
153568901.9905035,2982739.2000033553,0.0194203655251494
153565120.43624893,3169135.86743854,0.020634152294490584
153561109.7070538,3355528.073731654,0.021847941592865704
153556869.8047135,3541915.556263586,0.02306173356824976
153552400.73112637,3728298.052381009,0.024275528368535432
153547702.48829386,3914675.299394445,0.02548932614142337
153542775.0783205,4101047.0345763327,0.02670312703450461
153537618.50341398,4287412.9951590765,0.027916931195182407
153532232.7658852,4473772.918333103,0.02913073877072793
153526617.8681485,4660126.541244898,0.03034454990822028
153520773.81272143,4846473.600995044,0.0315583647545707
153514700.60222504,5032813.834636248,0.03277218345650088
153508398.23938394,5219146.979171349,0.03398600616053239
153501866.72702625,5405472.771551339,0.03519983301299108
153495106.0680838,5591790.948673351,0.03641366416000445
153488116.2655921,5778101.247378647,0.037627499747461275
153480897.3226905,5964403.404450594,0.038841339921024544
153473449.24262217,6150697.156612624,0.04005518482615044
153465772.02873427,6336982.240526183,0.041269034608012484
153457865.68447796,6523258.392788662,0.0424828894115642
153449730.21340844,6709525.349931319,0.04369674938149229
153441365.61918515,6895782.848417183,0.044910614662204584
153432771.90557173,7082030.624638936,0.04612448539784405
153423949.07643607,7268268.41491678,0.04733836173226309
153414897.13575053,7454495.955496291,0.04855224380902926
153405616.08759183,7640712.982546242,0.04976613177139211
153396105.93614128,7826919.232156411,0.0509800257622963
