x_jw,y_jw,x_moon,y_moon,x_earth,y_earth
152111638.0,0.0,152503934.0,0.0,152098238.0,0.0
152134574.35004544,252576.0963172182,152503772.39596626,190695.38112188247,152098124.51004624,184611.70068829422
152155330.1595467,501396.452982272,152503287.5935602,381389.03430920944,152097784.04023513,369223.14150580793
152175510.32349494,749437.3089503606,152502479.62186673,572079.2318171049,152097216.59071702,553834.0625798828
152195323.04109204,997128.1315642348,152501348.52936032,762764.2462800678,152096422.16174248,738444.2040341045
152214832.6911575,1244618.1126272886,152499894.38390383,953442.3509017057,152095400.75366235,923053.3059864246
152234067.50336424,1491976.8046172073,152498117.2727474,1144111.8196445224,152094152.3669277,1107661.108547281
152253042.351829,1739242.287157672,152496017.30252686,1334770.9274197805,152092677.00209,1292267.3518177182
152271766.04222053,1986437.6533224804,152493594.5992618,1525417.950277457,152090974.6598009,1476871.7758875063
152290244.2330723,2233577.930427447,152490849.30835322,1716051.165596312,152089045.34081236,1661474.1208332586
152308480.7904613,2480673.409181774,152487781.59458107,1906668.852274092,152086889.0459768,1846074.126716547
152326478.48472488,2727731.411084453,152484391.6421012,2097269.2909178887,152084505.77624694,2030671.5335820168
152344239.37819907,2974757.2997052507,152480679.6544422,2287850.764034677,152081895.53267595,2215266.081455499
152361765.05497876,3221755.094343556,152476645.85450184,2478411.556222052,152079058.3164175,2399857.5103421193
152379056.7642122,3468727.860410307,152472290.48454323,2668949.9543591975,152075994.12872568,2584445.560224405
152396115.51333654,3715677.967584819,152467613.8061908,2859464.2477981034,152072702.9709552,2769029.9710603906
152412942.1309345,3962607.266153815,152462616.10042572,3049952.728555065,152069184.84456128,2953610.482781716
152429537.3104039,4209517.210824389,152457297.6675815,3240413.6915024933,152065439.75109985,3138186.8352917265
152445901.64108843,4456408.949741865,152451658.82733902,3430845.4345610617,152061467.6922275,3322758.7684635636
152462035.63096932,4703283.389826345,152445699.9187214,3621246.2588922307,152057268.66970158,3507326.0221382547
152477939.72353026,4950141.245607129,152439421.30008873,3811614.469091176,152052842.68538022,3691888.3361227964
152493614.3105079,5196983.076316232,152432823.34913254,4001948.373380161,152048189.74122244,3876445.4501882344
152509059.74167916,5443809.314472804,152425906.46287015,4192246.2838023906,152043309.83928818,4060997.1040677363
152524276.33247674,5690620.288197874,152418671.05763876,4382506.5164163895,152038202.98173833,4245543.037454656
152539264.36998722,5937416.238840154,152411117.56908947,4572727.39149094,152032869.17083487,4430082.990000599
152531797.65808162,6123910.647000013,152403246.4521811,4762907.233700637,152027308.40894088,4614616.7013134705
152524100.40687332,6310395.813036592,152395058.18117395,4953044.372322093,152021520.69852063,4799143.910955522
152516172.6274562,6496871.455808708,152386553.2496234,5143137.141430854,152015506.0421396,4983664.358441392
152508014.33125702,6683337.294188032,152377732.1703734,5333183.880099074,152009264.44246462,5168177.783236127
152499625.53003547,6869793.047059462,152368595.47555,5523182.932594003,152002795.90226388,5352683.924753209
152491006.2358841,7056238.433321514,152359143.71655455,5713132.64857735,151996100.42440704,5537182.522352553
152482156.46122837,7242673.171886697,152349377.4640572,5903031.383305573,151989178.01186526,5721673.315338516
152473076.2188266,7429096.981681899,152339297.30799004,6092877.497831168,151982028.6677113,5906156.042957872
152463765.52176994,7615509.581648766,152328903.85754037,6282669.359205022,151974652.39511958,6090630.444397793
152454224.3834824,7801910.690744083,152318197.74114382,6472405.340679896,151967049.19736624,6275096.258783804
152444452.81772083,7988300.027940159,152307179.60647765,6662083.821915103,151959219.07782924,6459553.22517773
152434450.83857492,8174677.3122252,152295850.12045375,6851703.189182476,151951162.0399884,6644001.082575628
152424218.46046713,8361042.262603701,152284209.9692118,7041261.8355736835,151942878.08742544,6828439.569905696
152413755.69815272,8547394.598096814,152272259.85811237,7230758.161208985,151934367.22382414,7012868.42602618
152403062.56671974,8733734.03774274,152260000.51173005,7420190.573447506,151925629.45297036,7197287.389723246
152392139.08158904,8920060.300597098,152247432.6738464,7609557.48709912,151916664.77875203,7381696.199708844
152380985.2585142,9106373.105733313,152234557.10744303,7798857.324638036,151907473.20515937,7566094.594618547
152369601.1135815,9292672.172242992,152221374.59469458,7988088.516418165,151898054.73628485,7750482.313009373
152357986.66321006,9478957.219236301,152207885.93696153,8177249.5008903835,151888409.3763233,7934859.093357583
152346141.9241516,9665227.96584235,152194091.95478314,8366338.724821785,151878537.129572,8119224.67405645
152334038.1289758,9851482.30569038,152179993.4878701,8555354.643517016,151868438.0004307,8303578.793414016
