vx_JW,vy_JW
-35185.42942139877,100640.73593056033
-35310.114100203005,100597.69662016432
-35434.74763492085,100554.50466742764
-35559.32984380893,100511.16013024756
-35683.86054518445,100467.66306672695
-35808.339557425374,100424.01353517416
-35932.76669897067,100380.21159410299
-36057.1417883205,100336.25730223263
-36181.464644036416,100292.15071848757
-36305.73508474158,100247.89190199759
-36429.95292912096,100203.48091209763
-36554.117995921566,100158.91780832777
-36678.230103952614,100114.20265043314
-36802.289072085754,100069.33549836391
-36926.294719255275,100024.31641227518
-37050.24686445832,99979.1454525269
-37174.145326755075,99933.82267968383
-37297.98992526899,99888.34815451551
-37421.78047918696,99842.72193799613
-37545.51680775956,99796.94409130451
-37669.19873030124,99751.01467582404
-37792.82606619053,99704.93375314257
-37916.39863487023,99658.7013850524
-38039.916255847646,99612.31763355015
-38163.37874869476,99565.78256083679
-38286.785933048464,99519.09622931747
-38410.13762861075,99472.25870160153
-38533.43365514892,99425.2700405024
-38656.673832495784,99378.13030903753
-38779.857980549874,99330.83957042835
-38902.98591927564,99283.39788810018
-39026.057468703664,99235.8053256822
-39149.07244893085,99188.06194700733
-39272.03068012063,99140.1678161122
-39394.931982503185,99092.12299723705
-39517.77617637563,99043.92755482574
-39640.56308210222,98995.5815535256
-39763.29252011457,98947.08505818738
-39885.96431091183,98898.43813386523
-40008.57827506093,98849.64084581657
-40131.134233196724,98800.69325950208
-40253.63200602225,98751.59544058557
-40376.0714143089,98702.347454934
-40498.452278896635,98652.94936861732
-40620.77442069418,98603.40124790845
-40743.03766067924,98553.7031592832
-40865.241819898685,98503.85516942023
-40987.38671946877,98453.85734520093
-41109.472180575314,98403.7097537094
-41231.49802447393,98353.41246223233
-41353.464072490206,98302.965538259
-41475.370146019915,98252.36904948116
-41597.21606652921,98201.62306379297
-41719.00165555484,98150.72764929094
-41840.726734704345,98099.68287427386
-41962.39112565625,98048.48880724271
-42083.99465016026,97997.14551690064
-42205.5371300375,97945.65307215284
-42327.01838718065,97894.01154210651
-42448.43824355423,97842.2209960708
-42569.796521194716,97790.28150355667
-42691.0930422108,97738.19313427692
-42812.32762878357,97685.95595814605
-42933.500103166705,97633.5700452802
-43054.610287686686,97581.0354659971
-43175.65800474299,97528.352290816
-43296.64307680829,97475.52059045756
-43417.56532642866,97422.54043584382
-43538.42457622377,97369.41189809814
-43659.220648887094,97316.13504854508
-43779.95336718609,97262.70995871037
-43900.62255396243,97209.1367003208
-44021.22803213217,97155.4153453042
-44141.76962468596,97101.54596578932
-44262.24715468927,97047.52863410581
-44382.660445282534,96993.36342278408
-44503.00931968139,96939.0504045553
-44623.293601176876,96884.58965235128
-44743.51311313562,96829.9812393044
-44863.66767900002,96775.22523874757
-44983.757122288494,96720.32172421415
-45103.78126659563,96665.27076943785
-45223.7399355924,96610.07244835264
-45343.63295302637,96554.72683509279
-45463.46014272187,96499.23400399265
-45583.22132858024,96443.59402958669
-45702.91633457998,96387.80698660936
-45822.54498477696,96331.87294999504
-45942.10710330464,96275.79199487799
-46061.60251437424,96219.56419659224
-46181.03104227495,96163.18963067152
-46300.39251137415,96106.66837284924
-46419.68674611755,96050.00049905831
-46538.91357102944,95993.1860854312
-46658.07281071288,95936.22520829974
-46777.16428984986,95879.11794419517
-46896.18783320154,95821.86436984793
-47015.14326560843,95764.4645621877
-47134.03041199058,95706.91859834327
-47252.84909734779,95649.22655564248
-47371.59914675979,95591.38851161214
-47490.28038538647,95533.40454397796
-47608.89263846802,95475.27473066449
-47727.43573132519,95416.99914979501
-47845.90948935944,95358.5778796915
-47964.31373805315,95300.01099887451
-48082.64830296982,95241.29858606316
-48200.91300975427,95182.44072017497
-48319.107684132825,95123.43748032588
-48437.232151913515,95064.2889458301
-48555.28623898627,95004.9951962001
-48673.269771323125,94945.55631114649
-48791.18257497839,94885.97237057792
-48909.024476088875,94826.24345460108
-49026.79530087407,94766.36964352058
-49144.494875636345,94706.35101783887
-49262.12302676113,94646.18765825618
-49379.679580717144,94585.87964567043
-49497.16436405655,94525.42706117716
-49614.57720341519,94464.82998606948
-49731.917925512724,94404.08850183793
-49849.18635715289,94343.20269017047
-49966.38232522365,94282.17263295237
-50083.50565669741,94220.99841226613
-50200.5561786312,94159.68011039143
-50317.53371816689,94098.21780980504
-50434.438102531334,94036.6115931807
-50551.26915903664,93974.86154338914
-50668.02671508029,93912.96774349792
-50784.71059814539,93850.93027677138
-50901.32063580083,93788.74922667055
-51017.85665570148,93726.4246768531
-51134.3184855884,93663.95671117326
-51250.705953289034,93601.3454136817
-51367.01888671737,93538.59086862551
-51483.257113874184,93475.69316044809
-51599.42046284719,93412.65237378907
-51715.50876181127,93349.46859348424
-51831.52183902862,93286.14190456548
-51947.45952284899,93222.67239226068
-52063.32164170986,93159.06014199364
-52179.108024136614,93095.30523938403
-52294.81849874277,93031.40777024727
-52410.452894230126,92967.36782059449
-52526.011039389006,92903.18547663242
-52641.49276309841,92838.86082476334
-52756.89789432623,92774.39395158496
-52872.22626212942,92709.78494389042
-52987.47769565423,92645.03388866811
-53102.65202413633,92580.14087310167
-53217.749076901084,92515.10598456988
-53332.768683363676,92449.92931064656
-53447.71067302933,92384.61093910054
-53562.57487549351,92319.15095789556
-53677.361120442096,92253.54945519016
-53792.06923765157,92187.80651933765
-53906.69905698924,92121.922238886
-54021.25040841338,92055.89670257778
-54135.72312197349,91989.72999935006
-54250.11702781042,91923.42221833434
-54364.43195615659,91856.97344885646
-54478.6677373362,91790.38378043655
-54592.8242017654,91723.65330278891
-54706.90117995246,91656.78210582199
-54820.898502498014,91589.77027963822
-54934.81600009522,91522.61791453401
-55048.65350352993,91455.32510099965
-55162.41084368093,91387.89192971919
-55276.087851520104,91320.31849157042
-55389.68435811261,91252.60487762475
-55503.200194617086,91184.75117914713
-55616.63519228587,91116.757487596
-55729.98918246512,91048.62389462316
-55843.26199659509,90980.35049207373
-55956.45346621024,90911.93737198609
-56069.563422939485,90843.38462659171
-56182.59169850637,90774.69234831516
-56295.538124729224,90705.860629774
-56408.40253352141,90636.88956377868
-56521.184756891475,90567.77924333246
-56633.88462694334,90498.52976163138
-56746.50197587652,90429.14121206409
-56859.03663598628,90359.61368821186
-56971.488439663844,90289.94728384845
-57083.85721939658,90220.14209294002
-57196.142807768185,90150.19820964507
-57308.34503745889,90080.11572831435
-57420.46374124562,90009.8947434908
-57532.49875200223,89939.53534990943
-57644.44990269966,89869.03764249728
-57756.3170264061,89798.40171637326
-57868.099956287246,89727.6276668482
-57979.79852560645,89656.71558942462
-58091.4125677249,89585.66557979678
-58202.941916101845,89514.4777338505
-58314.38640429473,89443.1521476631
-58425.74586595945,89371.68891750339
-58537.02013485048,89300.08813983147
-58648.2090448211,89228.34991129873
-58759.31242982359,89156.47432874776
-58870.330123909385,89084.46148921223
-58981.261961229284,89012.31148991684
-59092.10777603364,88940.02442827722
-59202.86740267254,88867.60040189985
-59313.540675596014,88795.03950858199
-59424.127429354194,88722.34184631158
-59534.627498597525,88649.50751326718
-59645.04071807694,88576.53660781785
-59755.36692264407,88503.42922852309
-59865.605947251395,88430.18547413276
-59975.75762695247,88356.80544358699
-60085.8217969021,88283.28923601609
-60195.79829235651,88209.6369507405
-60305.68694867356,88135.84868727066
-60415.48760131293,88061.92454530692
-60525.200085836295,87987.86462473952
-60634.82423790751,87913.66902564847
-60744.35989329282,87839.33784830345
-60853.80688786103,87764.87119316372
-60963.16505758369,87690.2691608781
-61072.43423853531,87615.53185228481
-61181.61426689351,87540.65936841143
-61290.70497893925,87465.65181047482
-61399.70621105697,87390.509279881
-61508.61779973481,87315.23187822505
-61617.4395815648,87239.81970729114
-61726.171393243036,87164.2728690523
-61834.81307156986,87088.59146567044
-61943.364453450056,87012.77559949619
-62051.82537589306,86936.82537306889
-62160.19567601311,86860.74088911644
-62268.47519102944,86784.52225055525
-62376.66375826651,86708.16956049016
-62484.76121515414,86631.68292221431
-62592.76739922772,86555.06243920913
-62700.68214812839,86478.30821514415
-62808.50529960325,86401.42035387704
-62916.23669150551,86324.39895945342
-63023.876161794724,86247.24413610683
-63131.42354853693,86169.95598825863
-63238.878689904865,86092.5346205179
-63346.24142417815,86014.98013768137
-63453.51158974347,85937.29264473336
-63560.68902509476,85859.47224684563
-63667.77356883341,85781.51904937736
-63774.76505966841,85703.43315787501
-63881.6633364166,85625.21467807228
-63988.468238002795,85546.86371589
-64095.17960346002,85468.380377436
-64201.79727192966,85389.76476900514
-64308.32108266167,85311.0169970791
-64414.75087501476,85232.13716832639
-64521.086488456574,85153.12538960218
-64627.32776256388,85073.98176794828
-64733.474537022754,84994.70641059302
-64839.526651628774,84915.29942495117
-64945.4839462872,84835.76091862384
-65051.346261013154,84756.09099939844
-65157.11343593184,84676.28977524853
-65262.78531127868,84596.35735433377
-65368.361727399555,84516.29384499983
-65473.84252475094,84436.09935577831
-65579.22754390012,84355.7739953866
-65684.5166255254,84275.31787272789
-65789.70961041622,84194.73109689097
-65894.8063394734,84114.01377715026
-65999.80665370933,84033.16602296563
-66104.7103942481,83952.18794398231
-66209.51740232579,83871.0796500309
-66314.22751929052,83789.84125112716
-66418.84058660275,83708.47285747204
-66523.35644583541,83626.97457945149
-66627.77493867409,83545.34652763641
-66732.09590691727,83463.58881278262
-66836.31919247644,83381.70154583064
-66940.44463737635,83299.68483790575
-67044.47208375514,83217.5388003178
-67148.40137386457,83135.26354456114
-67252.23235007019,83052.85918231457
-67355.9648548515,82970.32582544122
-67459.59873080219,82887.66358598848
-67563.1338206303,82804.87257618787
-67666.5699671584,82721.952908455
-67769.90701332377,82638.90469538946
-67873.1448021786,82555.72804977473
-67976.2831768902,82472.42308457808
-68079.32198074112,82388.98991295054
-68182.26105712942,82305.4286482267
-68285.10024956877,82221.73940392474
-68387.83940168872,82137.92229374626
-68490.47835723482,82053.97743157623
-68593.01696006885,81969.90493148287
-68695.45505416897,81885.7049077176
-68797.79248362992,81801.37747471493
-68900.02909266326,81716.92274709234
-69002.16472559745,81632.34083965023
-69104.19922687813,81547.63186737186
-69206.13244106824,81462.79594542316
-69307.96421284827,81377.83318915273
-69409.6943870164,81292.74371409173
-69511.32280848868,81207.52763595375
-69612.84932229927,81122.18507063476
-69714.27377360057,81036.71613421301
-69815.59600766342,80951.12094294895
-69916.81586987733,80865.39961328512
-70017.9332057506,80779.55226184604
-70118.94786091054,80693.57900543818
-70219.85968110367,80607.47996104983
-70320.66851219586,80521.255245851
-70421.37420017258,80434.90497719336
-70521.97659113903,80348.42927261013
-70622.47553132036,80261.82824981597
-70722.87086706185,80175.10202670694
-70823.16244482907,80088.25072136035
-70923.3501112081,80001.27445203472
-71023.43371290571,79914.17333716966
-71123.41309674953,79826.94749538579
-71223.28810968825,79739.59704548461
-71323.05859879182,79652.12210644849
-71422.72441125159,79564.52279744048
-71522.28539438055,79476.79923780431
-71621.74139561348,79388.95154706424
-71721.09226250715,79300.97984492498
-71820.33784274053,79212.8842512716
-71919.4779841149,79124.66488616943
-72018.51253455413,79036.321869864
-72117.44134210482,78947.85532278092
-72216.26425493648,78859.26536552576
-72314.98112134173,78770.55211888404
-72413.59178973649,78681.71570382103
-72512.09610866015,78592.75624148177
-72610.49392677577,78503.67385319088
-72708.78509287028,78414.46866045252
-72806.96945585463,78325.14078495029
-72905.04686476402,78235.69034854713
-73003.01716875803,78146.11747328521
-73100.88021712087,78056.42228138588
-73198.63585926151,77966.60489524955
-73296.28394471393,77876.66543745558
-73393.82432313723,77786.60403076223
-73491.2568443159,77696.42079810651
-73588.5813581599,77606.11586260414
-73685.79771470498,77515.68934754943
-73782.90576411276,77425.14137641518
-73879.90535667095,77334.4720728526
-73976.79634279356,77243.68156069121
-74073.57857302105,77152.76996393876
-74170.25189802054,77061.73740678109
-74266.816168586,76970.58401358209
-74363.2712356384,76879.30990888359
-74459.61695022597,76787.91521740524
-74555.8531635243,76696.40006404447
-74651.97972683658,76604.76457387631
-74747.99649159379,76513.00887215337
-74843.90330935485,76421.13308430571
-74939.70003180685,76329.13733594077
-75035.3865107652,76237.02175284325
-75130.96259817384,76144.78646097502
-75226.4281461054,76052.43158647502
-75321.78300676147,75959.9572556592
-75417.02703247266,75867.36359502038
-75512.16007569886,75774.65073122815
-75607.18198902946,75681.81879112881
-75702.09262518345,75588.8679017453
-75796.89183700967,75495.798190277
-75891.57947748699,75402.60978409972
-75986.15539972448,75309.30281076561
-76080.6194569616,75215.877398003
-76174.97150256843,75122.33367371633
-76269.21139004575,75028.6717659861
-76363.33897302535,74934.89180306872
-76457.35410527016,74840.9939133964
-76551.25664067442,74746.97822557713
-76645.0464332639,74652.84486839447
-76738.72333719608,74558.59397080759
-76832.28720676035,74464.22566195104
-76925.73789637815,74369.74007113476
-77019.07526060322,74275.13732784388
-77112.29915412173,74180.41756173874
-77205.40943175253,74085.58090265468
-77298.40594844727,73990.62748060201
-77391.28855929062,73895.5574257659
-77484.0571195005,73800.37086850629
-77576.71148442819,73705.06793935773
-77669.25150955857,73609.64876902937
-77761.67705051028,73514.11348840482
-77853.98796303592,73418.46222854205
-77946.18410302226,73322.69512067328
-78038.26532649036,73226.81229620491
-78130.23148959587,73130.8138867174
-78222.0824486291,73034.70002396518
-78313.81806001527,72938.47083987657
-78405.43818031471,72842.12646655361
-78496.94266622303,72745.66703627208
-78588.33137457125,72649.09268148127
-78679.60416232611,72552.40353480398
-78770.76088659016,72455.59972903636
-78861.80140460197,72358.68139714786
-78952.72557373634,72261.64867228108
-79043.5332515045,72164.5016877517
-79134.22429555423,72067.24057704839
-79224.79856367013,71969.86547383267
-79315.25591377377,71872.37651193884
-79405.59620392385,71774.77382537388
-79495.81929231646,71677.05754831733
-79585.9250372852,71579.22781512122
-79675.91329730139,71481.28476030994
-79765.7839309743,71383.22851858013
-79855.53679705129,71285.05922480064
-79945.171754418,71186.77701401236
-80034.68866209856,71088.38202142814
-80124.08737925578,70989.87438243274
-80213.36776519132,70891.25423258262
-80302.52967934588,70792.52170760596
-80391.57298129944,70693.67694340246
-80480.49753077136,70594.7200760433
-80569.30318762064,70495.65124177102
-80657.98981184607,70396.47057699939
-80746.55726358647,70297.17821831335
-80835.0054031208,70197.77430246888
-80923.33409086842,70098.25896639294
-81011.54318738925,69998.63234718329
-81099.63255338396,69898.89458210843
-81187.60204969415,69799.04580860757
-81275.45153730258,69699.08616429036
-81363.1808773333,69599.01578693696
-81450.7899310519,69498.83481449781
-81538.27855986565,69398.5433850936
-81625.64662532372,69298.14163701513
-81712.89398911735,69197.62970872322
-81800.02051308006,69097.00773884862
-81887.02605918782,68996.27586619189
-81973.91048955926,68895.43422972328
-82060.67366645584,68794.48296858264
-82147.31545228207,68693.42222207935
-82233.83570958565,68592.25212969213
-82320.2343010577,68490.97283106906
-82406.51108953296,68389.58446602734
-82492.66593798992,68288.0871745533
-82578.6987095511,68186.48109680219
-82664.60926748316,68084.76637309817
-82750.39747519711,67982.94314393417
-82836.06319624855,67881.01154997174
-82921.60629433779,67778.97173204101
-83007.02663331007,67676.82383114056
-83092.32407715579,67574.56798843728
-83177.49849001062,67472.20434526633
-83262.54973615576,67369.733043131
-83347.47768001811,67267.15422370256
-83432.28218617044,67164.46802882022
-83516.9631193316,67061.67460049102
-83601.52034436671,66958.77408088969
-83685.95372628735,66855.76661235854
-83770.26313025174,66752.65233740737
-83854.44842156496,66649.4313987134
-83938.5094656791,66546.10393912105
-84022.4461281935,66442.67010164198
-84106.25827485487,66339.13002945489
-84189.9457715576,66235.4838659054
-84273.5084843438,66131.73175450598
-84356.9462794036,66027.87383893586
-84440.25902307531,65923.91026304089
-84523.44658184562,65819.84117083343
-84606.50882234977,65715.66670649225
-84689.44561137176,65611.38701436241
-84772.25681584454,65507.00223895518
-84854.94230285016,65402.51252494791
-84937.50193962007,65297.91801718392
-85019.93559353518,65193.21886067239
-85102.24313212614,65088.41520058825
-85184.4244230735,64983.50718227209
-85266.47933420794,64878.49495123004
-85348.40773351035,64773.37865313362
-85430.20948911218,64668.158433819706
-85511.88446929552,64562.83443929035
-85593.43254249332,64457.40681571272
-85674.8535772896,64351.87570941894
-85756.14744241963,64246.24126690604
-85837.31400677013,64140.50363483579
-85918.35313937944,64034.66296003461
-85999.26470943772,63928.719389493475
-86080.04858628717,63822.67307036777
-86160.70463942221,63716.5241499772
-86241.23273848965,63610.27277580569
-86321.6327532889,63503.919095501245
-86401.90455377217,63397.463256875846
-86482.04801004464,63290.905407905346
-86562.06299236468,63184.24569672936
-86641.94937114402,63077.48427165115
-86721.70701694796,62970.621281137486
-86801.33580049557,62863.656873818574
-86880.83559265983,62756.59119848793
-86960.20626446791,62649.42440410223
-87039.44768710129,62542.15663978127
-87118.55973189596,62434.788054807774
-87197.54227034269,62327.31879862733
-87276.39517408711,62219.74902084828
-87355.11831492999,62112.078871241545
-87433.71156482739,62004.3084997406
-87512.17479589087,61896.43805644127
-87590.50788038768,61788.4676916017
-87668.71069074098,61680.397555642165
-87746.78309952996,61572.22779914501
-87824.72497949013,61463.958572854506
-87902.53620351343,61355.590027676735
-87980.21664464848,61247.12231467949
-88057.76617610075,61138.55558509214
-88135.18467123275,61029.889990305535
-88212.47200356425,60921.12568187188
-88289.62804677244,60812.26281150462
-88366.65267469214,60703.3015310783
-88443.54576131603,60594.2419926285
-88520.30718079474,60485.084348351666
-88596.9368074372,60375.828750605026
-88673.43451571069,60266.47535190646
-88749.8001802411,60157.024304934384
-88826.03367581313,60047.475762527625
-88902.13487737048,59937.82987768532
-88978.10366001603,59828.08680356679
-89053.93989901202,59718.24669349141
-89129.64346978032,59608.309700938524
-89205.2142479025,59498.27597954728
-89280.65210912017,59388.14568311655
-89355.95692933507,59277.91896560478
-89431.12858460928,59167.5959811299
-89506.16695116546,59057.1768839692
-89581.07190538703,58946.66182855918
-89655.8433238183,58836.05096949548
-89730.48108316478,58725.34446153271
-89804.98506029326,58614.54245958435
-89879.3551322321,58503.645118722656
-89953.59117617138,58392.6525941785
-90027.69306946309,58281.565041341266
-90101.66068962132,58170.38261575874
-90175.4939143225,58059.10547313696
-90249.19262140559,57947.73376934012
-90322.75668887218,57836.26766039044
-90396.18599488684,57724.70730246805
-90469.48041777719,57613.052851910856
-90542.63983603414,57501.30446521443
-90615.66412831213,57389.46229903188
-90688.55317342923,57277.52651017374
-90761.30685036743,57165.497255607814
-90833.92503827278,57053.374692459096
-90906.4076164556,56941.15897800963
-90978.75446439072,56828.85026969838
-91050.96546171757,56716.448725121096
-91123.0404882405,56603.954502030225
-91194.97942392887,56491.36775833476
-91266.78214891735,56378.68865210012
