vx_JW,vy_JW,rad
153598238.0,0.0,0.0
153598122.6373516,186644.74468601256,0.0012151493106465254
153597776.54957294,373289.2080185842,0.002430298676671735
153597199.73716375,559933.1086446503,0.0036454481541850635
153596392.2009569,746576.1652118997,0.004860597798678886
153595353.94211847,933218.0963691502,0.0060757476657547
153594084.96214756,1119858.620766726,0.007290897811107727
153592585.26287654,1306497.4570568341,0.008506048290420147
153590854.84647083,1493134.3238939403,0.009721199159322857
153588893.71542907,1679768.939935146,0.010936350473484128
153586701.87258297,1866401.0238405643,0.01215150228854446
153584279.32109743,2053030.2942736975,0.013366654660169943
153581626.06447044,2239656.4699018127,0.01458180764401793
153578742.10653314,2426279.269396319,0.015796961295746596
153575627.45144978,2612898.4114331426,0.017012115670987694
153572282.10371774,2799513.614693105,0.018227270825421502
153568706.0681675,2986124.597862299,0.01944242681469226
153564899.34996265,3172731.079632464,0.020657583694455528
153560861.95459986,3359332.778701363,0.021872741520358903
153556593.88790894,3545929.413773161,0.023087900348072087
153552095.1560527,3732520.7035587984,0.02430306023323934
153547365.76552716,3919106.3667763695,0.025518221231506374
153542405.72316128,4105686.122151498,0.026733383398527426
153537215.03611717,4292259.688417714,0.027948546789970434
153531793.71188992,4478826.784316829,0.02916371146146375
153526141.75830775,4665387.128599316,0.030378877468679896
153520259.18353185,4851940.44002468,0.03159404486726287
153514145.99605647,5038486.43736184,0.03280921371285618
153507802.20470884,5225024.839389502,0.034024384061105264
153501227.81864923,5411555.364896537,0.035239555967675126
153494422.8473709,5598077.732682356,0.036454729488200416
153487387.30070004,5784591.661557286,0.03766990467834246
153480121.1887959,5971096.87034295,0.038885081593735576
153472624.5221506,6157593.0778726395,0.04010026029002899
153464897.31158927,6344080.002991691,0.04131544082287564
153456939.56826994,6530557.364557864,0.04253062324791237
153448751.30368358,6717024.881441716,0.0437458076207917
153440332.52965403,6903482.272526979,0.04496099399715652
153431683.25833803,7089929.256710937,0.04617618243264277
153422803.50222525,7276365.5529048,0.04739137298289813
153413693.27413815,7462790.88003408,0.04860656570356588
153404352.58723208,7649204.957038971,0.04982176065028443
153394781.4549952,7835607.502874721,0.05103695787869788
153384979.89124846,8021998.236512011,0.05225215744443519
153374947.91014567,8208376.876937328,0.053467359403144184
153364685.52617338,8394743.143153343,0.05468256381046412
153354192.7541509,8581096.75417929,0.05589777072202563
153343469.60923028,8767437.429051332,0.05711298019346428
153332516.10689634,8953764.886822952,0.058328192280420965
153321332.26296654,9140078.846565317,0.05954340703852362
153309918.0935911,9326379.027367659,0.06075862452340762
153298273.61525285,9512665.148337647,0.06197384479070693
153286398.8447673,9698936.92860177,0.06318906789604971
153274293.79928258,9885194.087305706,0.06440429389506824
153261958.49627945,10071436.343614703,0.06561952284338571
153249392.9535712,10257663.41671395,0.06683475479663598
153236597.18930376,10443875.025808955,0.06804998981044535
153223571.22195554,10630070.890125925,0.06926522794043384
153210315.07033753,10816250.728912134,0.0704804692422336
153196828.75359318,11002414.261436304,0.0716957137714637
153183112.2911984,11188561.206988981,0.072910961583747
153169165.70296162,11374691.284882905,0.07412621273470282
153154989.00902364,11560804.214453394,0.07534146727995214
153140582.22985768,11746899.715058714,0.07655672527511646
153125945.38626936,11932977.506080456,0.07777198677580682
153111078.49939662,12119037.306923911,0.07898725183764467
153095981.59070975,12305078.837018447,0.08020252051624066
153080654.68201134,12491101.815817883,0.08141779286721089
153065097.79543626,12677105.962800866,0.08263306894616608
153049310.95345166,12863090.997471243,0.08384834880871624
153033294.17885685,13049056.639358444,0.08506363251047365
153017047.49478337,13235002.608017849,0.08627892010704401
153000570.92469496,13420928.623031167,0.08749421165403092
152983864.49238744,13606834.404006815,0.0887095072070426
152966928.2219888,13792719.670580283,0.08992480682168187
152949762.13795903,13978584.14241452,0.09114011055355044
152932366.2650903,14164427.539200304,0.09235541845824914
152914740.62850666,14350249.58065662,0.09357073059137581
152896885.25366428,14536049.98653103,0.09478604700853038
152878800.16635123,14721828.476600055,0.09600136776530556
152860485.3926875,14907584.770669542,0.09721669291730006
152841940.959125,15093318.588575048,0.09843202252009917
152823166.89244756,15279029.650182212,0.09964735662930012
152804163.21977073,15464717.675387122,0.10086269530048848
152784929.96854195,15650382.384116702,0.10207803858925403
152765467.1665404,15836023.496329078,0.10329338655118207
152745774.84187707,16021640.732013961,0.1045087392418569
152725853.02299452,16207233.811193014,0.10572409671685871
152705701.73866707,16392802.453920228,0.10693945903177127
152685321.01800066,16578346.380282305,0.10815482624217232
152664710.89043283,16763865.31039902,0.1093701984036381
152643871.38573268,16949358.964423604,0.11058557557174441
152622802.5340008,17134827.062543117,0.11180095780206459
152601504.36566937,17320269.324978825,0.11301634515017067
152579976.91150194,17505685.471986566,0.1142317376716314
152558220.2025935,17691075.22385714,0.11544713542201339
152536234.27037042,17876438.300916657,0.11666253845688494
152514019.14659044,18061774.423526946,0.11787794683180741
152491574.86334258,18247083.312085904,0.11909336060234481
152468901.45304716,18432364.687027875,0.12030877982405347
152445998.94845566,18617618.268824033,0.12152420455249416
152422867.38265082,18802843.777982745,0.12273963484322091
152399506.7890465,18988040.93504995,0.12395507075178662
152375917.20138767,19173209.460609544,0.12517051233374657
152352098.65375036,19358349.07528373,0.12638595964464577
152328051.18054163,19543459.49973341,0.12760141274003334
152303774.81649956,19728540.454658564,0.12881687167545344
152279269.59669313,19913591.660798606,0.13003233650644974
152254535.55652225,20098612.838932764,0.13124780728856264
152229572.73171768,20283603.70988046,0.13246328407732924
152204381.15834096,20468563.994501684,0.13367876692828837
152178960.8727845,20653493.41369736,0.13489425589697115
152153311.91177136,20838391.688409723,0.13610975103891107
152127434.31235528,21023258.539622698,0.13732525240963628
152101328.1119207,21208093.68836226,0.13854076006467364
152074993.34818265,21392896.855696823,0.13975627405954782
152048430.05918664,21577667.76273761,0.1409717944497803
152021638.28330877,21762406.130639017,0.1421873212908925
151994618.05925554,21947111.680598993,0.14340285463840075
151967369.4260639,22131784.13385942,0.14461839454781938
151939892.42310116,22316423.211706467,0.14583394107466147
151912187.09006494,22501028.63547099,0.1470494942744353
151884253.46698314,22685600.12652888,0.14826505420264985
